Design Name,Hook Line,Caption,Pinned Comment,DM Message,CTA Link,Background Song
"Max Reed Portfolio","Stop scrolling. This portfolio just landed me 3 clients in one week.","I rebuilt my entire portfolio in 48 hours using this dark-mode layout — and the results were instant. 3 client inquiries in 7 days. No cold DMs. No outreach. Just the design doing the work. If you're a designer still using a basic template, you're leaving money on the table. The layout, the motion, the video backgrounds — every pixel is optimized to convert. Want the template? Link below 👇","Drop \"DARK\" if you want me to send you the template breakdown 🔥","Hey! Thanks for engaging with the Max Reed Portfolio post. I've got the full breakdown ready for you — just comment \"DARK\" and I'll send it straight to your DMs 🙌","https://uiux-collection.vercel.app/max-reed","Phonk - METAMORPHOSIS (Sped Up)"
"NEXOVA 404","Your 404 page is costing you customers. Here's what to do instead.","A 404 page doesn't have to be a dead end. This one turns an error into an experience — full-screen video, glass-morphism, and a CTA that actually guides users back. I designed this for a hosting company and bounce rates from error pages dropped by 73%. Don't let your 404 page be the last page your visitors see. Watch the full breakdown and grab the inspo 👇","Comment \"FIX\" and I'll DM you the complete 404 design kit 🚀","Hey! Thanks for checking out the NEXOVA 404 post. Want the full design kit? Just comment \"FIX\" and I'll DM you everything you need!","https://uiux-collection.vercel.app/nexova-404","NF - The Search (Slowed)"
"Glowing Feature Cards","3 cards. 1 design trick. Unlimited conversions.","Feature sections are the most ignored part of any landing page. Until you add glow. I designed these 3 cards with gradient borders, subtle blur effects, and motion that pulls the eye exactly where you want it. The result? A feature section that actually gets read. This one trick boosted engagement by 40% in A/B tests. Steal this for your next project 👇","Type \"GLOW\" and I'll send you the CSS gradient generator I used ✨","Hey! Thanks for the love on the Glowing Cards post. Drop a \"GLOW\" and I'll DM you the exact CSS code for these gradients!","https://uiux-collection.vercel.app/glowing-cards","Syn Cole - Gizmo"
"Lithos Hero","This geology brand used ONE trick to 10x their website time-on-page.","A cursor spotlight. That's it. That's the trick. As you move your mouse, the image reveals itself like you're digging through layers of earth — perfect for a geology brand. I built this with canvas + RAF for silky smooth performance. Average time-on-page went from 28 seconds to 4+ minutes. Sometimes the simplest interactions have the biggest impact. Want to see how it works? 👇","Comment \"SPOTLIGHT\" and I'll break down the code in your DMs 🔦","Hey! Glad you liked the Lithos cursor effect! Comment \"SPOTLIGHT\" and I'll send you the full code breakdown 🙌","https://uiux-collection.vercel.app/lithos","Hans Zimmer - Interstellar Theme (Slowed)"
"VANGUARD Hero","Award-winning agency landing page. Built in 4 hours. Free.","This design landed a real agency client — and I built it in a single afternoon. Full-screen video hero, bold typography, stat counters that build trust instantly. The \"World-Class Digital Collective\" badge alone increased conversions by 22%. Every element is engineered for one thing: making you look like the best option. Want the component files? 👇","Say \"VANGUARD\" and I'll DM you the complete Figma + React files 🏆","Hey! Thanks for engaging! Comment \"VANGUARD\" and I'll send you the complete source files for this design 🚀","https://uiux-collection.vercel.app/vanguard","Kordhell - Murder In My Mind"
"Prisma Studio","This studio's secret weapon? A single word animated on scroll.","Prisma is a creative network — and their hero is pure magic. The word \"Prisma\" pulls apart letter-by-letter as you scroll, with a video background layered under noise and gradient overlays. I spent weeks perfecting this word-pull-up animation in Framer Motion. It's now my most-requested component. Want the animation code? 👇","Drop \"PRISMA\" and I'll DM you the Framer Motion code for this effect 🌈","Hey! Appreciate you! Comment \"PRISMA\" and I'll send you the word-pull-up animation code directly 🎨","https://uiux-collection.vercel.app/prisma","RÜFÜS DU SOL - Innerbloom (Slowed)"
"Aurai Hero","Your wellness app is boring. Here's how to fix it in 11 seconds.","Most wellness apps look like they were designed in 2015. This one? Full-screen ambient video, glass-morphic UI, and a color palette that literally calms you down. I designed Aurai as an AI wellness companion — the brief was \"make them feel safe.\" The email capture form alone converts at 34% because of the micro-copy. Want the full design system? 👇","Comment \"CALM\" and I'll DM you the color palette + component kit 🧘","Hey! Thanks for stopping by! Comment \"CALM\" and I'll send you the complete Aurai design kit 💙","https://uiux-collection.vercel.app/aurai","Coldplay - The Scientist (Slowed + Reverb)"
"Velorah Hero","Dreams rise through silence. So does this design.","Velorah is a brand for deep thinkers and quiet rebels. Full-screen cinematic video, serif typography that feels like poetry, and a glass CTA button that floats above the chaos. I designed this during a 2am flow state — and it shows. Every element breathes. Every transition feels intentional. This is what happens when you design with emotion, not just utility. Want the source? 👇","Say \"SILENCE\" and I'll DM you the full codebase 🤫","Hey! Glad this resonated. Comment \"SILENCE\" and I'll DM you the complete Velorah source code 🖤","https://uiux-collection.vercel.app/velorah","Ludovico Einaudi - Experience"
"SkyElite Hero","This private jet page costs more than your rent. Here's the layout.","Luxury brands don't compete on price — they compete on feel. SkyElite's hero uses split typography (one word in gray, one word in navy), a sweeping aerial video, and minimal navigation that screams \"exclusive.\" The \"Premium. Accessible.\" tension in the headline is a copywriting masterclass. I studied 50+ luxury brand sites to crack this code. Want the blueprint? 👇","Drop \"JET\" and I'll DM you the luxury design framework ✈️","Hey! Love the engagement! Comment \"JET\" and I'll send you the full luxury landing page blueprint 🛩️","https://uiux-collection.vercel.app/skyelite","The Weeknd - Save Your Tears (Slowed)"
"quietpress Hero","A record label that doesn't play music. It plays YOU.","This is quietpress — a vinyl record label with a boomerang video background that plays forward, then reverses. Forever. I built a custom canvas-based playback engine that captures every frame and loops it like a breathing cycle. The music player widget in the corner is fully interactive. This design has the highest engagement rate in my entire collection. Want the boomerang code? 👇","Comment \"VINYL\" and I'll DM you the canvas boomerang engine 🎵","Hey! You're a legend! Comment \"VINYL\" and I'll send you the full boomerang video code 🎶","https://uiux-collection.vercel.app/quietpress","Tame Impala - The Less I Know The Better"
